time (msec),xAccel (m/s^2),yAccel (m/s^2),zAccel (m/s^2),xRate (deg/s),yRate (deg/s),zRate (deg/s),xMag (Gauss),yMag (Gauss),zMag (Gauss)
1136199973,0.1356,0.6942,-9.7302,-0.0374,-0.0864,-0.0165,0.0000,0.0000,0.0000
1136210106,0.1244,0.6846,-9.7413,-0.0089,-0.1218,0.1738,0.0000,0.0000,0.0000
1136219975,0.1067,0.6750,-9.7357,0.0023,-0.0556,0.2095,0.0000,0.0000,0.0000
1136230080,0.1139,0.6726,-9.7365,-0.0212,-0.0614,0.0124,0.0000,0.0000,0.0000
1136239973,0.1332,0.6758,-9.7437,0.0014,-0.0918,-0.1141,0.0000,0.0000,0.0000
1136249900,0.1292,0.6854,-9.7333,0.0187,-0.0436,0.0425,0.0000,0.0000,0.0000
1136260145,0.1059,0.6878,-9.7349,-0.0211,-0.0494,0.2156,0.0000,0.0000,0.0000
1136269906,0.1172,0.6814,-9.7421,-0.0441,-0.0445,0.1142,0.0000,0.0000,0.0000
1136279982,0.1284,0.6758,-9.7365,-0.0219,-0.0445,-0.0217,0.0000,0.0000,0.0000
1136289979,0.1356,0.6742,-9.7349,-0.0441,-0.1218,0.0199,0.0000,0.0000,0.0000
1136300075,0.1244,0.6830,-9.7350,-0.0490,-0.1279,0.1920,0.0000,0.0000,0.0000
1136310084,0.1131,0.6934,-9.7374,-0.0262,-0.1041,0.2149,0.0000,0.0000,0.0000
1136319908,0.1180,0.6878,-9.7341,-0.0089,-0.0978,0.1017,0.0000,0.0000,0.0000
1136329978,0.1236,0.6814,-9.7341,-0.0088,-0.0323,0.0187,0.0000,0.0000,0.0000
1136339904,0.1332,0.6782,-9.7325,-0.0153,-0.0685,0.0605,0.0000,0.0000,0.0000
1136349988,0.1188,0.6766,-9.7389,-0.0279,-0.0801,0.1919,0.0000,0.0000,0.0000
1136359904,0.1147,0.6814,-9.7349,-0.0213,-0.0379,0.1863,0.0000,0.0000,0.0000
1136370151,0.1292,0.6846,-9.7381,-0.0324,-0.0268,0.1021,0.0000,0.0000,0.0000
1136380076,0.1292,0.6822,-9.7397,0.0013,-0.0861,0.0484,0.0000,0.0000,0.0000
1136389982,0.1188,0.6750,-9.7326,0.0182,-0.1160,0.0197,0.0000,0.0000,0.0000
1136400082,0.1156,0.6758,-9.7405,-0.0158,-0.0982,0.0428,0.0000,0.0000,0.0000
1136409984,0.1172,0.6822,-9.7342,-0.0379,-0.0257,0.0776,0.0000,0.0000,0.0000
1136420079,0.1228,0.6830,-9.7302,-0.0321,-0.0627,0.0780,0.0000,0.0000,0.0000
1136430190,0.1228,0.6870,-9.7374,-0.0321,-0.0865,0.1384,0.0000,0.0000,0.0000
1136440081,0.1204,0.6806,-9.7302,-0.0275,-0.0927,0.1563,0.0000,0.0000,0.0000
1136449987,0.1188,0.6742,-9.7349,-0.0224,-0.1042,0.0548,0.0000,0.0000,0.0000
1136460082,0.1228,0.6750,-9.7286,-0.0222,-0.1038,0.0018,0.0000,0.0000,0.0000
1136469986,0.1204,0.6830,-9.7334,-0.0225,-0.1097,0.0546,0.0000,0.0000,0.0000
1136480084,0.1091,0.6910,-9.7397,-0.0218,-0.0442,0.1385,0.0000,0.0000,0.0000
1136490116,0.1156,0.6862,-9.7333,-0.0451,0.0463,0.1264,0.0000,0.0000,0.0000
1136499982,0.1388,0.6798,-9.7349,-0.0396,0.0277,0.1384,0.0000,0.0000,0.0000
1136510080,0.1372,0.6766,-9.7365,-0.0103,-0.0628,0.1321,0.0000,0.0000,0.0000
1136519977,0.1091,0.6838,-9.7421,-0.0216,-0.0979,0.1262,0.0000,0.0000,0.0000
1136530081,0.1091,0.6854,-9.7389,-0.0328,-0.0921,0.0731,0.0000,0.0000,0.0000
1136539983,0.1268,0.6878,-9.7365,-0.0217,-0.0134,-0.0040,0.0000,0.0000,0.0000
1136550072,0.1421,0.6862,-9.7317,0.0065,-0.0262,0.0548,0.0000,0.0000,0.0000
1136560159,0.1268,0.6798,-9.7381,-0.0098,-0.0864,0.2153,0.0000,0.0000,0.0000
1136569915,0.1091,0.6742,-9.7373,-0.0493,-0.0861,0.2673,0.0000,0.0000,0.0000
1136579994,0.1083,0.6750,-9.7381,-0.0603,-0.0553,0.1376,0.0000,0.0000,0.0000
1136589906,0.1220,0.6854,-9.7405,-0.0157,0.0057,-0.0105,0.0000,0.0000,0.0000
1136600151,0.1388,0.6958,-9.7262,-0.0101,0.0479,-0.0104,0.0000,0.0000,0.0000
1136609919,0.1324,0.6894,-9.7325,-0.0264,-0.0372,0.1263,0.0000,0.0000,0.0000
1136619990,0.1187,0.6838,-9.7373,-0.0147,-0.0796,0.1915,0.0000,0.0000,0.0000
1136630085,0.1155,0.6742,-9.7349,-0.0094,-0.0378,0.1324,0.0000,0.0000,0.0000
1136639987,0.1164,0.6734,-9.7437,-0.0147,-0.0019,0.0257,0.0000,0.0000,0.0000
1136650082,0.1179,0.6830,-9.7357,-0.0314,0.0403,0.0317,0.0000,0.0000,0.0000
1136659996,0.1348,0.6894,-9.7310,-0.0552,-0.0011,0.1500,0.0000,0.0000,0.0000
1136669914,0.1372,0.6894,-9.7437,-0.0329,-0.0979,0.1442,0.0000,0.0000,0.0000
1136680080,0.1067,0.6846,-9.7381,-0.0041,-0.0924,0.0842,0.0000,0.0000,0.0000
1136689982,0.1099,0.6758,-9.7325,-0.0152,-0.0563,0.0966,0.0000,0.0000,0.0000
1136700125,0.1228,0.6758,-9.7397,-0.0446,0.0176,0.1271,0.0000,0.0000,0.0000
1136710093,0.1260,0.6846,-9.7270,-0.0100,0.0425,0.1742,0.0000,0.0000,0.0000
1136719919,0.1292,0.6838,-9.7286,-0.0208,-0.0730,0.1626,0.0000,0.0000,0.0000
1136729988,0.1356,0.6902,-9.7397,-0.0385,-0.1332,0.0371,0.0000,0.0000,0.0000
1136740088,0.1276,0.6902,-9.7294,-0.0208,-0.1637,0.0365,0.0000,0.0000,0.0000
1136750162,0.1172,0.6830,-9.7365,-0.0212,-0.1518,0.1501,0.0000,0.0000,0.0000
1136759913,0.1131,0.6830,-9.7389,-0.0154,-0.0616,0.1921,0.0000,0.0000,0.0000
1136770231,0.1220,0.6830,-9.7278,-0.0211,0.0040,0.1079,0.0000,0.0000,0.0000
1136779912,0.1244,0.6830,-9.7381,-0.0152,-0.0569,0.0191,0.0000,0.0000,0.0000
1136789986,0.1196,0.6870,-9.7381,-0.0201,-0.0139,0.0195,0.0000,0.0000,0.0000
1136800081,0.1252,0.6862,-9.7341,-0.0152,-0.0267,0.1025,0.0000,0.0000,0.0000
1136809984,0.1212,0.6830,-9.7429,-0.0108,-0.0445,0.1204,0.0000,0.0000,0.0000
1136820114,0.1099,0.6774,-9.7318,0.0123,-0.0078,0.0550,0.0000,0.0000,0.0000
1136829990,0.1284,0.6870,-9.7310,-0.0153,-0.0016,-0.0046,0.0000,0.0000,0.0000
1136840086,0.1356,0.6950,-9.7405,-0.0322,-0.0253,0.0900,0.0000,0.0000,0.0000
1136849992,0.1187,0.6894,-9.7294,-0.0325,0.0049,0.1800,0.0000,0.0000,0.0000
1136859921,0.1268,0.6902,-9.7333,-0.0504,-0.0015,0.2095,0.0000,0.0000,0.0000
1136870167,0.1380,0.6870,-9.7413,-0.0446,-0.0317,0.1735,0.0000,0.0000,0.0000
1136879981,0.1300,0.6870,-9.7333,-0.0048,-0.0745,0.0780,0.0000,0.0000,0.0000
1136890097,0.1220,0.6862,-9.7405,-0.0046,-0.1161,0.0544,0.0000,0.0000,0.0000
1136899989,0.1164,0.6838,-9.7437,-0.0385,-0.0259,0.0662,0.0000,0.0000,0.0000
1136909922,0.1228,0.6814,-9.7278,-0.0272,0.0472,0.0966,0.0000,0.0000,0.0000
1136920090,0.1324,0.6766,-9.7365,0.0073,-0.0076,0.1618,0.0000,0.0000,0.0000
1136929918,0.1276,0.6822,-9.7349,-0.0213,-0.0801,0.0838,0.0000,0.0000,0.0000
