time (msec),xAccel (m/s^2),yAccel (m/s^2),zAccel (m/s^2),xRate (deg/s),yRate (deg/s),zRate (deg/s),xMag (Gauss),yMag (Gauss),zMag (Gauss)
1062498418,0.6520,0.6630,-9.7126,-0.0376,-0.1343,0.1196,0.0000,0.0000,0.0000
1062508597,0.6592,0.6702,-9.7206,-0.0549,-0.0741,-0.0096,0.0000,0.0000,0.0000
1062518423,0.6737,0.6766,-9.7134,-0.0496,-0.0132,0.1026,0.0000,0.0000,0.0000
1062528493,0.6817,0.6662,-9.7190,-0.0378,-0.0320,0.2329,0.0000,0.0000,0.0000
1062538418,0.6753,0.6630,-9.7206,-0.0149,-0.1044,0.1673,0.0000,0.0000,0.0000
1062548661,0.6600,0.6742,-9.7182,0.0028,-0.1104,-0.0162,0.0000,0.0000,0.0000
1062558582,0.6673,0.6742,-9.7214,0.0025,-0.0624,-0.0560,0.0000,0.0000,0.0000
1062568496,0.6793,0.6694,-9.7166,0.0192,-0.0322,0.0900,0.0000,0.0000,0.0000
1062578418,0.6785,0.6726,-9.7118,0.0132,-0.0263,0.1321,0.0000,0.0000,0.0000
1062588490,0.6705,0.6710,-9.7110,-0.0211,-0.0863,0.0725,0.0000,0.0000,0.0000
1062598594,0.6584,0.6614,-9.7158,-0.0148,-0.1400,-0.0044,0.0000,0.0000,0.0000
1062608485,0.6568,0.6646,-9.7262,-0.0030,-0.0982,-0.0277,0.0000,0.0000,0.0000
1062618598,0.6649,0.6678,-9.7206,-0.0152,-0.0082,0.0967,0.0000,0.0000,0.0000
1062628591,0.6737,0.6606,-9.7142,-0.0149,0.0104,0.1084,0.0000,0.0000,0.0000
1062638499,0.6769,0.6742,-9.7182,-0.0374,-0.0510,-0.0042,0.0000,0.0000,0.0000
1062648418,0.6737,0.6806,-9.7182,-0.0317,-0.0805,0.0841,0.0000,0.0000,0.0000
1062658500,0.6625,0.6638,-9.7190,0.0014,-0.0626,0.2025,0.0000,0.0000,0.0000
1062668630,0.6592,0.6686,-9.7198,-0.0155,-0.0018,0.0834,0.0000,0.0000,0.0000
1062678670,0.6673,0.6734,-9.7190,-0.0447,0.0355,-0.0051,0.0000,0.0000,0.0000
1062688597,0.6841,0.6662,-9.7174,-0.0273,0.0533,0.0183,0.0000,0.0000,0.0000
1062698659,0.6809,0.6718,-9.7174,-0.0327,-0.0198,0.0897,0.0000,0.0000,0.0000
1062708422,0.6697,0.6798,-9.7126,-0.0270,-0.1100,0.0897,0.0000,0.0000,0.0000
1062718491,0.6681,0.6718,-9.7118,-0.0094,-0.1276,0.0662,0.0000,0.0000,0.0000
1062728630,0.6632,0.6670,-9.7150,-0.0267,-0.0684,0.1321,0.0000,0.0000,0.0000
1062738671,0.6640,0.6686,-9.7158,-0.0278,-0.0265,0.1438,0.0000,0.0000,0.0000
1062748427,0.6753,0.6678,-9.7206,0.0011,-0.0326,0.0538,0.0000,0.0000,0.0000
1062758663,0.6785,0.6726,-9.7182,-0.0044,-0.0506,0.0601,0.0000,0.0000,0.0000
1062768427,0.6657,0.6766,-9.7158,-0.0328,-0.0624,0.1442,0.0000,0.0000,0.0000
1062778605,0.6648,0.6742,-9.7142,-0.0375,-0.0320,0.2153,0.0000,0.0000,0.0000
1062788597,0.6705,0.6638,-9.7110,-0.0425,-0.0134,0.1979,0.0000,0.0000,0.0000
1062798606,0.6729,0.6670,-9.7182,-0.0496,-0.0685,0.1087,0.0000,0.0000,0.0000
1062808600,0.6641,0.6758,-9.7190,-0.0510,-0.0859,0.1088,0.0000,0.0000,0.0000
1062818508,0.6584,0.6694,-9.7134,-0.0561,-0.0802,0.1684,0.0000,0.0000,0.0000
1062828501,0.6705,0.6678,-9.7142,-0.0438,-0.0627,0.0901,0.0000,0.0000,0.0000
1062838429,0.6809,0.6758,-9.7150,-0.0336,-0.0924,0.0012,0.0000,0.0000,0.0000
1062848673,0.6793,0.6790,-9.7134,-0.0218,-0.1279,0.0842,0.0000,0.0000,0.0000
1062858424,0.6665,0.6734,-9.7166,0.0068,-0.1163,0.1680,0.0000,0.0000,0.0000
1062868502,0.6496,0.6726,-9.7230,0.0128,-0.0609,0.1260,0.0000,0.0000,0.0000
1062878598,0.6649,0.6758,-9.7150,-0.0211,-0.0061,0.0012,0.0000,0.0000,0.0000
1062888422,0.6857,0.6750,-9.7166,-0.0376,-0.0500,-0.0278,0.0000,0.0000,0.0000
1062898590,0.6801,0.6830,-9.7118,-0.0093,-0.0743,0.0542,0.0000,0.0000,0.0000
1062908426,0.6641,0.6742,-9.7126,-0.0098,-0.0803,0.1794,0.0000,0.0000,0.0000
1062918428,0.6681,0.6622,-9.7174,-0.0379,-0.0689,0.2035,0.0000,0.0000,0.0000
1062928664,0.6721,0.6662,-9.7150,-0.0198,-0.0510,0.0905,0.0000,0.0000,0.0000
1062938427,0.6705,0.6742,-9.7118,-0.0030,-0.0624,0.0142,0.0000,0.0000,0.0000
1062948738,0.6729,0.6734,-9.7166,-0.0143,-0.0857,0.0842,0.0000,0.0000,0.0000
1062958429,0.6689,0.6718,-9.7118,-0.0375,-0.0613,0.1969,0.0000,0.0000,0.0000
1062968505,0.6713,0.6742,-9.7166,-0.0499,-0.0497,0.1972,0.0000,0.0000,0.0000
1062978607,0.6721,0.6694,-9.7166,-0.0220,-0.0554,0.1142,0.0000,0.0000,0.0000
1062988507,0.6745,0.6742,-9.7126,-0.0212,-0.0920,0.0193,0.0000,0.0000,0.0000
1062998605,0.6729,0.6742,-9.7150,-0.0493,-0.1461,0.0201,0.0000,0.0000,0.0000
1063008681,0.6632,0.6670,-9.7214,-0.0321,-0.1280,0.1267,0.0000,0.0000,0.0000
1063018709,0.6625,0.6622,-9.7190,-0.0319,-0.0452,0.1501,0.0000,0.0000,0.0000
1063028500,0.6649,0.6686,-9.7190,-0.0317,0.0096,0.0842,0.0000,0.0000,0.0000
1063038610,0.6745,0.6718,-9.7174,-0.0154,-0.0331,0.0251,0.0000,0.0000,0.0000
1063048507,0.6672,0.6726,-9.7158,0.0013,-0.0801,0.0199,0.0000,0.0000,0.0000
