LED1,LED2,LED3,LED4,LED5
47.4928839391162,16.7641307683106,51.10053074036,17.3205398537592,10.5763924010698
47.4921099340274,16.6757335763041,50.8891619496584,17.5243782889229,10.6326174856257
47.5120148042461,16.7368479935786,50.925083585968,17.3979597534142,10.6684953166297
47.5033718921798,16.7617725256218,50.8903151379276,17.3107352875059,10.6219712557907
47.5076311402382,16.6929414873199,50.7331528256439,17.4914991692325,10.6894309292974
47.5206740065703,16.7409142707765,50.6938915047573,17.5463080009781,10.5333970577321
47.5372257687652,16.74989826493,50.5604111379212,17.562299300088,10.605493463043
47.5072079074277,16.7521234361284,50.8594622841435,17.4589450369751,10.6121668367918
47.5383743667217,16.6659376184002,50.7922638544556,17.403920066074,10.574359718457
47.4726075257703,16.7430061450549,50.7757374242189,17.3121621466478,10.5859336882283
47.5317918118185,16.7325007153672,50.8375804254293,17.4142789845232,10.7059874000929
47.4498567707889,16.6625460208875,50.7734899890338,17.2193731930808,10.567140860099
47.5130745072532,16.6782565494549,50.6406942575096,17.3140525616692,10.5683326594645
47.4694719114321,16.6389998711451,50.8539012167696,17.4108516698491,10.4854916174602
47.5195468708461,16.7498538045007,50.8669671491409,17.3738976554509,10.6342419639992
47.5262448624869,16.6675888442805,50.771711986317,17.579887423999,10.6429202206343
47.5152457962917,16.6931790824728,50.7205767694533,17.5582493675725,10.5816077613578
47.4238968001722,16.7198005254058,50.7533911284183,17.5175340917358,10.6781918255938
47.4173359565821,16.6874219923439,50.8091209495246,17.3867169770376,10.5516544875443
47.4297608811591,16.755038915564,50.8635927099784,17.4424438858154,10.6087214259301
47.5156624188214,16.6526138960361,50.9103347936903,17.4926395555037,10.5899369980382
47.4658184281436,16.7334534103769,50.983409631379,17.2718888730062,10.583612954843
47.5257387461878,16.707218269199,50.6839882922115,17.4170153781227,10.9626549265122
47.4339963430144,16.6715030351485,50.6149759268459,17.3377974400795,10.6723257518035
47.4049450939318,16.7243448007506,50.6532012956231,17.2824090408357,10.627371827592
47.495056826808,16.7624404492219,50.6139159438789,17.3145331032299,10.7348029345369
47.5144539409951,16.7341999573738,50.7274072373975,17.6025879673106,10.5186338026647
47.4715761553413,16.6879235435476,50.8228713848775,17.4182432345922,10.5998525370002
47.5847449494129,16.6909399665728,50.7905032189172,17.4623158523092,10.612853879346
47.6657663458342,16.7440850244474,50.7726864990504,17.5536638411358,10.4632096332286
47.6672677849608,16.6465279088106,50.907829421936,17.3528182601874,10.582487851788
47.6556327786548,16.7160024180355,50.7892216030571,17.3768435330823,10.5929641815477
47.6760542131175,16.6411280872753,50.8415107320142,17.3751271140745,10.5671989015989
47.6478222875056,16.6978474494827,50.8479791462166,17.3746552725546,10.6251596163296
47.6785443857639,16.7104706433285,50.8903899071334,17.3908335471686,10.6351524917277
47.6641158331335,16.6412377138859,50.684730617324,17.412327087037,10.5841505972457
47.6943290366909,16.7729577731146,50.7816446258214,17.4342800545033,10.3348110448574
47.6305760641997,16.6989311838683,50.9384691795692,17.5335995472946,10.6019381083445
47.6321269727658,16.7931547835542,50.722100354293,17.4522736593218,10.3457595108161
47.7016538273784,16.6525336479368,50.9854725978907,17.4962152751958,10.6061834530013
47.6558651050906,16.6898588064091,50.6990914992047,17.4246001786114,10.5409656901812
47.7560163449202,16.645895829187,50.690466527742,17.342414275921,10.6064674414686
47.6829206346365,16.7322027756051,50.7969912486219,17.4507201282695,10.583851381083
47.6939596992223,16.6916150576572,50.7627104266137,17.4258731395074,10.5735537519509
47.6759393562779,16.648781389468,50.9602340686412,17.3809071658817,10.5607135594176
47.6934045167823,16.7194552753036,50.8287448430067,17.465181359936,10.6129982097055
47.6799881924824,16.7624328940666,50.7305874665745,17.423880334543,10.58712654351
47.5992977619093,16.7122514772199,50.6429428001212,17.4745280969317,10.5872265428883
47.7139762354467,16.7241299613689,50.6736390988697,17.465407223159,10.5951514149946
47.5911522226812,16.6704632861477,50.669056167432,17.3986802537115,10.6659850154686
47.6158762390833,16.6959386521502,50.7218192909607,17.4135186457964,10.6577189486452
47.6154081202221,16.6977021380868,50.9353544977564,17.3951612872078,10.5223630010581
47.656494391022,16.7097950003887,50.8765368056058,17.614557762763,10.6541831890562
47.5768394035681,16.7081983924268,50.7374946389354,17.4577794283149,10.6823321232259
47.6240134580201,16.6695339287252,50.6654196998463,17.460551503432,10.629886328386
47.6253968390427,16.6746971031183,50.7012934752883,17.4143019914032,10.576758964601
