Point_No, 2D_distance, 3D_distance, Height
1,0,2.538,0.3
2,0.5,2.5868,0.3
3,1,2.7279,0.3
4,1.5,2.9481,0.3
5,2,3.2313,0.3
6,2.5,3.5625,0.3
7,3,3.9296,0.3
8,3.5,4.3234,0.3
9,4,4.7372,0.3
10,4.5,5.1664,0.3
11,5,5.6073,0.3
