9.230580,49.476599,2.024230,0.762051,0.535883
9.941172,49.535145,2.070384,0.684282,0.638101
8.869851,49.403740,2.028254,0.807659,0.614962
9.600334,49.334426,2.062368,0.554675,0.636472
9.811624,49.568148,2.031333,0.836733,0.578125
8.968001,49.418459,1.978820,0.637143,0.969266
9.799559,49.418419,2.072990,0.997492,0.644286
9.702864,49.945465,2.041034,0.506716,0.591696
8.919397,49.549278,2.116659,0.970746,0.600199
9.961894,49.434042,2.035696,0.628538,0.568545
9.277106,49.618902,2.159669,0.986569,0.618080
