time (msec),xAccel (m/s^2),yAccel (m/s^2),zAccel (m/s^2),xRate (deg/s),yRate (deg/s),zRate (deg/s),xMag (Gauss),yMag (Gauss),zMag (Gauss)
311133513,0.1228,0.6966,-9.7405,-0.0044,-0.0985,0.1262,0.0000,0.0000,0.0000
311143270,0.1123,0.6982,-9.7365,0.0070,-0.0982,0.1375,0.0000,0.0000,0.0000
311153346,0.1204,0.7110,-9.7325,-0.0039,-0.1042,0.0544,0.0000,0.0000,0.0000
311163448,0.1220,0.7038,-9.7413,-0.0104,-0.1103,0.0421,0.0000,0.0000,0.0000
311173343,0.1163,0.7038,-9.7373,-0.0164,-0.0922,0.0176,0.0000,0.0000,0.0000
311183478,0.1131,0.6990,-9.7318,-0.0211,-0.0249,0.0897,0.0000,0.0000,0.0000
311193348,0.1332,0.7006,-9.7302,-0.0435,-0.0132,0.1446,0.0000,0.0000,0.0000
311203273,0.1276,0.7030,-9.7341,-0.0664,-0.0744,0.0731,0.0000,0.0000,0.0000
311213350,0.1075,0.7022,-9.7325,-0.0386,-0.0744,0.0552,0.0000,0.0000,0.0000
311223276,0.1163,0.6966,-9.7270,0.0013,-0.0503,0.0661,0.0000,0.0000,0.0000
311233488,0.1300,0.6974,-9.7334,-0.0387,-0.0442,0.0185,0.0000,0.0000,0.0000
311243271,0.1260,0.7030,-9.7310,-0.0325,-0.0563,0.0538,0.0000,0.0000,0.0000
311253554,0.1180,0.6958,-9.7294,-0.0263,-0.0916,0.1731,0.0000,0.0000,0.0000
311263276,0.1156,0.6974,-9.7421,-0.0492,-0.0742,0.1255,0.0000,0.0000,0.0000
311273273,0.1212,0.6990,-9.7341,-0.0324,-0.0267,0.0426,0.0000,0.0000,0.0000
311283553,0.1260,0.6974,-9.7341,-0.0213,-0.0558,0.0962,0.0000,0.0000,0.0000
311293280,0.1260,0.6942,-9.7381,-0.0382,-0.0558,0.1912,0.0000,0.0000,0.0000
311303521,0.1196,0.6966,-9.7294,-0.0386,-0.0500,0.2154,0.0000,0.0000,0.0000
311313450,0.1236,0.6990,-9.7302,-0.0505,-0.1040,0.0842,0.0000,0.0000,0.0000
311323350,0.1268,0.6982,-9.7357,-0.0213,-0.0982,0.0783,0.0000,0.0000,0.0000
311333272,0.1155,0.6966,-9.7357,0.0129,-0.0744,0.1563,0.0000,0.0000,0.0000
311343447,0.1180,0.6958,-9.7310,-0.0162,-0.0799,0.1625,0.0000,0.0000,0.0000
311353451,0.1196,0.6934,-9.7373,-0.0556,-0.0559,0.1144,0.0000,0.0000,0.0000
311363347,0.1212,0.6958,-9.7341,-0.0319,-0.0383,0.0843,0.0000,0.0000,0.0000
311373445,0.1156,0.6966,-9.7325,-0.0270,-0.0435,0.1022,0.0000,0.0000,0.0000
311383343,0.1228,0.6958,-9.7262,-0.0328,-0.0490,0.1082,0.0000,0.0000,0.0000
311393283,0.1292,0.6990,-9.7294,-0.0429,-0.0915,0.0249,0.0000,0.0000,0.0000
311403454,0.1171,0.6998,-9.7373,-0.0487,-0.1573,0.0074,0.0000,0.0000,0.0000
311413279,0.1091,0.6982,-9.7341,-0.0435,-0.1340,0.1080,0.0000,0.0000,0.0000
311423352,0.1123,0.7022,-9.7349,-0.0556,-0.0567,0.1501,0.0000,0.0000,0.0000
311433282,0.1220,0.7038,-9.7301,-0.0218,-0.0565,0.1028,0.0000,0.0000,0.0000
311443455,0.1228,0.6998,-9.7341,-0.0044,-0.0453,0.0612,0.0000,0.0000,0.0000
311453453,0.1196,0.7014,-9.7357,-0.0219,-0.0331,0.0838,0.0000,0.0000,0.0000
311463355,0.1220,0.7030,-9.7326,-0.0396,-0.0449,0.1079,0.0000,0.0000,0.0000
311473353,0.1276,0.7030,-9.7381,-0.0230,-0.0380,0.1501,0.0000,0.0000,0.0000
311483352,0.1276,0.6958,-9.7325,-0.0165,-0.1039,0.1801,0.0000,0.0000,0.0000
311493522,0.1180,0.6958,-9.7381,-0.0285,-0.1632,0.0974,0.0000,0.0000,0.0000
311503447,0.1115,0.7030,-9.7381,-0.0222,-0.1094,0.0484,0.0000,0.0000,0.0000
311513521,0.1099,0.6974,-9.7325,0.0074,-0.0435,0.1139,0.0000,0.0000,0.0000
311523442,0.1228,0.6958,-9.7310,-0.0152,-0.0559,0.1259,0.0000,0.0000,0.0000
311533456,0.1236,0.7022,-9.7365,-0.0203,-0.0863,0.0901,0.0000,0.0000,0.0000
311543282,0.1115,0.6998,-9.7358,-0.0206,-0.1398,0.0542,0.0000,0.0000,0.0000
311553355,0.1139,0.6926,-9.7357,-0.0211,-0.1098,0.0604,0.0000,0.0000,0.0000
311563481,0.1115,0.6958,-9.7381,-0.0211,-0.0248,0.1500,0.0000,0.0000,0.0000
311573520,0.1228,0.7006,-9.7318,-0.0263,-0.0192,0.1979,0.0000,0.0000,0.0000
311583448,0.1212,0.6974,-9.7357,-0.0147,-0.0439,0.1683,0.0000,0.0000,0.0000
311593449,0.1172,0.6926,-9.7365,-0.0142,-0.0253,0.1142,0.0000,0.0000,0.0000
311603283,0.1155,0.6958,-9.7381,-0.0322,-0.0367,0.0783,0.0000,0.0000,0.0000
311613287,0.1204,0.6982,-9.7397,-0.0330,-0.0498,0.1380,0.0000,0.0000,0.0000
311623487,0.1244,0.6950,-9.7310,-0.0208,-0.0504,0.1622,0.0000,0.0000,0.0000
311633461,0.1172,0.6974,-9.7365,-0.0381,-0.0860,0.0610,0.0000,0.0000,0.0000
311643284,0.1179,0.7038,-9.7365,-0.0089,-0.0923,0.0201,0.0000,0.0000,0.0000
311653522,0.1220,0.6998,-9.7334,0.0132,-0.0924,0.0959,0.0000,0.0000,0.0000
311663355,0.1131,0.6934,-9.7405,-0.0211,-0.0977,0.1080,0.0000,0.0000,0.0000
311673454,0.1099,0.6958,-9.7373,-0.0324,-0.0501,0.0601,0.0000,0.0000,0.0000
311683352,0.1187,0.6966,-9.7381,-0.0044,-0.0564,0.0659,0.0000,0.0000,0.0000
311693354,0.1244,0.6974,-9.7373,0.0011,-0.0506,0.0903,0.0000,0.0000,0.0000
311703527,0.1236,0.6990,-9.7278,0.0065,-0.0500,0.1208,0.0000,0.0000,0.0000
311713356,0.1139,0.6990,-9.7357,-0.0054,-0.1452,0.0438,0.0000,0.0000,0.0000
