time (msec),xAccel (m/s^2),yAccel (m/s^2),zAccel (m/s^2),xRate (deg/s),yRate (deg/s),zRate (deg/s),xMag (Gauss),yMag (Gauss),zMag (Gauss)
4211972072,-0.1782,0.6654,-9.7262,-0.0279,-0.0131,0.1262,0.0000,0.0000,0.0000
4211981972,-0.1629,0.6670,-9.7325,-0.0331,0.0052,0.0416,0.0000,0.0000,0.0000
4211992105,-0.1445,0.6662,-9.7397,-0.0381,-0.0015,0.0655,0.0000,0.0000,0.0000
4212001981,-0.1630,0.6670,-9.7317,-0.0498,-0.1162,0.1092,0.0000,0.0000,0.0000
4212011903,-0.1854,0.6678,-9.7437,-0.0384,-0.1819,0.1266,0.0000,0.0000,0.0000
4212021979,-0.1790,0.6678,-9.7373,-0.0387,-0.0691,0.1072,0.0000,0.0000,0.0000
4212031903,-0.1613,0.6678,-9.7309,-0.0336,-0.0326,0.0893,0.0000,0.0000,0.0000
4212042176,-0.1654,0.6726,-9.7389,-0.0168,-0.0201,0.0842,0.0000,0.0000,0.0000
4212051974,-0.1581,0.6710,-9.7254,-0.0218,0.0106,0.0784,0.0000,0.0000,0.0000
4212062077,-0.1509,0.6694,-9.7325,-0.0492,-0.1517,0.0608,0.0000,0.0000,0.0000
4212072137,-0.1750,0.6734,-9.7445,-0.0206,-0.1338,0.0727,0.0000,0.0000,0.0000
4212081973,-0.1806,0.6694,-9.7190,0.0132,0.0112,0.0902,0.0000,0.0000,0.0000
4212091972,-0.1517,0.6678,-9.7310,0.0078,-0.0195,0.0781,0.0000,0.0000,0.0000
4212102068,-0.1557,0.6718,-9.7373,0.0137,-0.0746,0.0544,0.0000,0.0000,0.0000
4212112113,-0.1798,0.6758,-9.7182,0.0023,-0.1104,0.0424,0.0000,0.0000,0.0000
4212121904,-0.1758,0.6718,-9.7349,-0.0152,-0.1104,0.1025,0.0000,0.0000,0.0000
4212132141,-0.1621,0.6662,-9.7381,-0.0152,0.0234,0.1325,0.0000,0.0000,0.0000
4212141907,-0.1581,0.6694,-9.7238,-0.0321,-0.0072,0.0788,0.0000,0.0000,0.0000
4212151980,-0.1557,0.6702,-9.7381,-0.0717,-0.1039,0.0900,0.0000,0.0000,0.0000
4212162104,-0.1541,0.6694,-9.7325,-0.0496,-0.1104,0.1554,0.0000,0.0000,0.0000
4212171976,-0.1710,0.6670,-9.7278,-0.0277,-0.1398,0.1500,0.0000,0.0000,0.0000
4212182074,-0.1758,0.6686,-9.7397,-0.0328,-0.1273,0.0484,0.0000,0.0000,0.0000
