4.279447,12.583837,32.722787,11.282464,7.766648
4.308202,12.933366,33.131768,11.236531,7.761506
4.395806,12.776984,33.362878,11.312568,7.631836
4.052935,12.687064,33.394000,11.315841,7.521802
4.142733,12.890614,33.189837,11.316972,7.804576
4.406851,12.515981,33.036415,11.204746,7.847507
4.372918,12.952015,32.755701,11.405620,7.477630
4.193059,12.841323,32.786184,11.289673,7.564481
4.244987,12.689918,32.891489,11.206958,7.590973
4.097263,12.925347,33.091040,11.308618,7.510575
4.158414,12.726311,33.238916,11.270253,7.582390
4.306706,12.841779,33.336371,11.225325,7.566241
4.363893,12.762861,33.363393,11.281040,7.642328
4.193082,12.674506,33.031025,11.308510,7.572014
4.222394,12.839795,32.778403,11.204721,7.470700
