1690454762.2091637	-0.00433	0.01401	-0.99066	0.00153	0.00692	0.00059
1690454762.2091637	-0.00433	0.01401	-0.99066	0.00153	0.00692	0.00059
1690454762.2289367	-0.00367	0.01454	-0.99134	-0.00062	0.00748	0.00201
1690454762.247235	-0.0042	0.01372	-0.9915	0.00051	0.00693	0.00145
1690454762.2680516	-0.0038	0.01466	-0.99064	0.00197	0.00637	0.0008
1690454762.2935936	-0.00433	0.01294	-0.99133	0.0026	0.00765	0.00506
1690454762.3102148	-0.00488	0.01379	-0.99097	0.00082	0.00823	0.00436
1690454762.3272545	-0.00524	0.01486	-0.99209	-0.0005	0.00666	0.00599
1690454762.3570971	-0.00464	0.01366	-0.99267	-0.00043	0.00683	0.00692
1690454762.3664978	-0.00448	0.01414	-0.99365	0.00174	0.00781	0.00082
1690454762.3947604	-0.00551	0.01465	-0.99435	0.00206	0.00784	0.0035
1690454762.4055853	-0.0041	0.01368	-0.99272	-0.00175	0.0092	0.00343
1690454762.4468162	-0.00305	0.01435	-0.99096	0.00144	0.00618	0.00366
1690454762.472918	-0.00369	0.01434	-0.9916	0.00167	0.00758	0.00248
1690454762.4881403	-0.00405	0.01492	-0.99272	0.00167	0.01167	-0.00062
1690454762.5066576	-0.00409	0.01466	-0.99216	0.00142	0.01008	0.00043
1690454762.5460327	-0.0044	0.01367	-0.9926	0.00187	0.00966	0.00434
1690454762.5460327	-0.0056	0.0138	-0.99312	0.0014	0.00606	0.00364
1690454762.588804	-0.00622	0.01391	-0.99291	0.00345	0.00958	0.00255
1690454762.6077023	-0.0056	0.01411	-0.99176	0.00078	0.00561	0.00102
1690454762.6279712	-0.00647	0.01332	-0.99125	0.00159	0.00718	0.00397
1690454762.6460164	-0.00476	0.01286	-0.9923	0.00238	0.00869	0.00367
1690454762.6685374	-0.00399	0.01398	-0.9924	0.00137	0.00486	0.00165
1690454762.6901975	-0.00409	0.01344	-0.99187	0.00011	0.00758	0.00187
1690454762.7076268	-0.00383	0.01403	-0.99161	0.00089	0.00656	0.00273
1690454762.7284303	-0.00418	0.01513	-0.9931	-0.00217	0.00944	0.0022
1690454762.7604969	-0.00456	0.01288	-0.99078	0.00103	0.00935	0.00242
1690454762.7675967	-0.00437	0.01222	-0.99078	0.00182	0.00636	0.00069
1690454762.788072	-0.00372	0.01399	-0.99295	0.00042	0.00982	0.00399
1690454762.8072557	-0.00388	0.01312	-0.99277	0.00068	0.00666	0.00551
1690454762.8282797	-0.00286	0.013	-0.99162	-0.00227	0.0077	0.0052
1690454762.847393	-0.00306	0.01358	-0.99165	0.00504	0.00598	0.00484
1690454762.868547	-0.00362	0.01462	-0.99093	0.00182	0.00964	0.00304
1690454762.8869212	-0.00472	0.01367	-0.99008	-0.00033	0.00745	0.00432
1690454762.907418	-0.00489	0.01254	-0.98989	0.0017	0.00788	0.00383
1690454762.9273803	-0.00376	0.01357	-0.99169	-0.0005	0.00779	0.00178
