Point_No, x, y    
01,0.1,0.2
02,0.2,0.2
03,0.3,0.2
04,0.4,0.2
05,0.5,0.2
06,0.6,0.2
07,0.7,0.2
08,0.8,0.2
09,0.9,0.2
10,0.9,0.3
11,0.9,0.4
12,0.9,0.5
13,0.9,0.6
14,0.9,0.7
15,0.9,0.8
16,0.9,0.9
17,0.9,1.0
18,0.8,1.0
19,0.7,1.0
20,0.6,1.0
21,0.5,1.0
22,0.4,1.0
23,0.3,1.0
24,0.2,1.0
25,0.1,1.0
26,0.1,0.9
27,0.1,0.8
28,0.1,0.7
29,0.1,0.6
30,0.2,0.6
31,0.3,0.6
32,0.4,0.6
33,0.5,0.6
