time (msec),xAccel (m/s^2),yAccel (m/s^2),zAccel (m/s^2),xRate (deg/s),yRate (deg/s),zRate (deg/s),xMag (Gauss),yMag (Gauss),zMag (Gauss)
4149700883,-0.2239,0.6838,-9.7357,-0.0379,-0.0078,0.0669,0.0000,0.0000,0.0000
4149710821,-0.2071,0.6854,-9.7262,-0.0441,-0.0260,0.0373,0.0000,0.0000,0.0000
4149720716,-0.2071,0.6846,-9.7286,-0.0441,-0.0983,0.0546,0.0000,0.0000,0.0000
4149730818,-0.2295,0.6894,-9.7318,-0.0271,-0.0508,0.0780,0.0000,0.0000,0.0000
4149740824,-0.2151,0.6862,-9.7214,-0.0272,-0.0076,0.1021,0.0000,0.0000,0.0000
4149750726,-0.1958,0.6806,-9.7294,-0.0393,-0.1217,0.0540,0.0000,0.0000,0.0000
4149760919,-0.2143,0.6878,-9.7334,-0.0106,-0.1453,0.0011,0.0000,0.0000,0.0000
4149770725,-0.2271,0.6854,-9.7246,-0.0031,-0.1216,0.1017,0.0000,0.0000,0.0000
4149780723,-0.2223,0.6774,-9.7389,-0.0542,-0.0566,0.1800,0.0000,0.0000,0.0000
4149790928,-0.2087,0.6886,-9.7357,-0.0722,0.0460,0.1314,0.0000,0.0000,0.0000
4149800723,-0.2103,0.6870,-9.7302,-0.0441,-0.0743,0.0896,0.0000,0.0000,0.0000
4149810814,-0.2175,0.6766,-9.7421,-0.0153,-0.1458,0.0484,0.0000,0.0000,0.0000
4149820715,-0.2231,0.6806,-9.7270,-0.0148,-0.0511,0.0538,0.0000,0.0000,0.0000
4149830818,-0.2207,0.6790,-9.7230,-0.0371,-0.0921,0.0714,0.0000,0.0000,0.0000
4149840723,-0.2215,0.6782,-9.7373,-0.0496,-0.0854,-0.0044,0.0000,0.0000,0.0000
4149850648,-0.2247,0.6862,-9.7230,-0.0268,-0.0184,0.0257,0.0000,0.0000,0.0000
4149860828,-0.2207,0.6846,-9.7302,-0.0212,-0.0428,0.1021,0.0000,0.0000,0.0000
4149870651,-0.2111,0.6846,-9.7389,-0.0154,-0.0074,0.1442,0.0000,0.0000,0.0000
4149880648,-0.2151,0.6806,-9.7222,-0.0321,-0.0381,0.1921,0.0000,0.0000,0.0000
4149890647,-0.2159,0.6710,-9.7294,-0.0438,-0.1574,0.1380,0.0000,0.0000,0.0000
4149900824,-0.2167,0.6790,-9.7342,-0.0163,-0.1575,0.0191,0.0000,0.0000,0.0000
4149910816,-0.2175,0.6942,-9.7254,-0.0098,-0.1279,-0.0106,0.0000,0.0000,0.0000
4149920724,-0.2183,0.6862,-9.7381,-0.0204,-0.1097,0.0963,0.0000,0.0000,0.0000
4149930713,-0.2231,0.6830,-9.7374,-0.0147,-0.0324,0.1438,0.0000,0.0000,0.0000
4149940716,-0.2183,0.6846,-9.7254,-0.0034,-0.0264,0.0842,0.0000,0.0000,0.0000
4149950839,-0.2103,0.6766,-9.7373,-0.0268,-0.1039,0.0369,0.0000,0.0000,0.0000
4149960895,-0.2239,0.6798,-9.7365,-0.0207,-0.0499,0.1017,0.0000,0.0000,0.0000
4149970889,-0.2223,0.6838,-9.7206,-0.0095,-0.0801,0.1013,0.0000,0.0000,0.0000
4149980829,-0.2167,0.6846,-9.7405,-0.0376,-0.1335,0.0785,0.0000,0.0000,0.0000
4149990717,-0.2207,0.6814,-9.7310,-0.0268,-0.0797,0.0962,0.0000,0.0000,0.0000
4150000651,-0.2263,0.6734,-9.7262,-0.0144,-0.0800,0.1075,0.0000,0.0000,0.0000
4150010893,-0.2191,0.6790,-9.7373,-0.0314,-0.0505,0.0659,0.0000,0.0000,0.0000
4150020824,-0.2199,0.6862,-9.7270,0.0083,-0.0028,0.0486,0.0000,0.0000,0.0000
4150030833,-0.2263,0.6854,-9.7318,0.0019,0.0222,0.0954,0.0000,0.0000,0.0000
4150040861,-0.2127,0.6806,-9.7270,-0.0496,0.0657,0.1611,0.0000,0.0000,0.0000
4150050729,-0.2031,0.6846,-9.7278,-0.0616,0.0109,0.0960,0.0000,0.0000,0.0000
4150060652,-0.2143,0.6854,-9.7286,-0.0387,-0.0978,0.0665,0.0000,0.0000,0.0000
4150070820,-0.2287,0.6790,-9.7286,-0.0319,-0.0743,0.1434,0.0000,0.0000,0.0000
4150080818,-0.2175,0.6862,-9.7278,-0.0251,-0.0560,0.1313,0.0000,0.0000,0.0000
4150090822,-0.2207,0.6910,-9.7302,-0.0487,-0.0313,0.0958,0.0000,0.0000,0.0000
4150100656,-0.2231,0.6830,-9.7238,-0.0552,0.0171,0.0837,0.0000,0.0000,0.0000
4150110727,-0.2071,0.6750,-9.7318,-0.0500,-0.0508,0.0243,0.0000,0.0000,0.0000
4150120655,-0.2111,0.6870,-9.7437,-0.0618,-0.0503,0.0596,0.0000,0.0000,0.0000
4150130898,-0.2199,0.6902,-9.7254,-0.0333,-0.0315,0.1493,0.0000,0.0000,0.0000
4150140654,-0.2127,0.6806,-9.7302,-0.0321,-0.0683,0.1551,0.0000,0.0000,0.0000
4150150735,-0.2071,0.6830,-9.7286,-0.0552,-0.1043,0.0834,0.0000,0.0000,0.0000
4150160887,-0.2119,0.6838,-9.7222,-0.0268,-0.1937,0.0241,0.0000,0.0000,0.0000
4150170720,-0.2207,0.6862,-9.7373,-0.0093,-0.2115,0.0662,0.0000,0.0000,0.0000
4150180824,-0.2295,0.6822,-9.7310,-0.0149,-0.1098,0.1263,0.0000,0.0000,0.0000
4150190649,-0.2343,0.6838,-9.7349,-0.0319,-0.0381,0.0718,0.0000,0.0000,0.0000
4150200831,-0.2223,0.6814,-9.7310,-0.0202,-0.0016,0.0417,0.0000,0.0000,0.0000
4150210654,-0.2111,0.6782,-9.7334,-0.0430,-0.0192,0.0305,0.0000,0.0000,0.0000
4150220732,-0.2191,0.6862,-9.7349,-0.0436,-0.0740,0.0544,0.0000,0.0000,0.0000
