1697020763.8344774	5.85	0.89	-1.03
1697020763.8344774	5.85	0.89	-1.03
1697020763.8544009	5.85	0.89	-1.03
1697020763.8749006	5.85	0.9	-1.03
1697020763.8988733	5.85	0.9	-1.03
1697020763.913778	5.85	0.89	-1.03
1697020763.9319165	5.85	0.89	-1.03
1697020763.954879	5.85	0.89	-1.03
1697020763.9748333	5.85	0.89	-1.03
1697020763.9950328	5.85	0.89	-1.03
1697020764.0053103	5.85	0.89	-1.03
1697020764.0325813	5.85	0.89	-1.03
1697020764.05739	5.85	0.9	-1.03
1697020764.0753794	5.85	0.89	-1.03
1697020764.0942678	5.85	0.89	-1.03
1697020764.1138775	5.85	0.89	-1.03
1697020764.1358085	5.85	0.89	-1.03
1697020764.154746	5.85	0.89	-1.03
1697020764.1736846	5.85	0.89	-1.03
1697020764.193614	5.85	0.89	-1.03
1697020764.2138798	5.85	0.89	-1.03
1697020764.2338228	5.85	0.89	-1.03
1697020764.259021	5.85	0.89	-1.03
1697020764.274086	5.85	0.89	-1.03
1697020764.295235	5.85	0.9	-1.03
1697020764.315337	5.85	0.9	-1.03
1697020764.335113	5.85	0.89	-1.03
1697020764.3544052	5.85	0.89	-1.03
1697020764.374569	5.85	0.89	-1.03
1697020764.3936453	5.85	0.89	-1.03
1697020764.4148176	5.85	0.89	-1.03
1697020764.4337585	5.85	0.89	-1.03
1697020764.4541147	5.85	0.89	-1.03
1697020764.4737298	5.85	0.89	-1.03
1697020764.5058482	5.85	0.89	-1.03
1697020764.5347881	5.85	0.89	-1.03
1697020764.5536888	5.85	0.89	-1.03
1697020764.575615	5.85	0.89	-1.03
1697020764.594547	5.85	0.9	-1.03
1697020764.6135998	5.85	0.9	-1.03
1697020764.6354146	5.85	0.89	-1.03
1697020764.6543875	5.85	0.89	-1.03
1697020764.6742864	5.85	0.89	-1.03
1697020764.6942139	5.85	0.89	-1.03
1697020764.7143126	5.85	0.89	-1.03
1697020764.7342486	5.85	0.89	-1.03
1697020764.7541811	5.85	0.89	-1.03
1697020764.7736506	5.85	0.89	-1.03
1697020764.7950482	5.85	0.89	-1.03
1697020764.8141038	5.85	0.89	-1.03
1697020764.8329408	5.85	0.89	-1.03
1697020764.8540924	5.85	0.89	-1.03
1697020764.8732393	5.85	0.89	-1.03
1697020764.8931725	5.85	0.89	-1.03
1697020764.9150982	5.85	0.89	-1.03
1697020764.9320636	5.85	0.89	-1.03
1697020764.9542565	5.85	0.89	-1.03
1697020764.9744496	5.85	0.89	-1.03
1697020764.9945805	5.85	0.89	-1.03
1697020765.0085344	5.85	0.89	-1.03
1697020765.0346513	5.85	0.89	-1.03
1697020765.0527186	5.85	0.89	-1.03
1697020765.0757804	5.84	0.89	-1.03
1697020765.0940554	5.85	0.89	-1.03
1697020765.1150222	5.85	0.89	-1.03
1697020765.1348598	5.85	0.89	-1.03
1697020765.1557894	5.85	0.89	-1.03
1697020765.1799145	5.85	0.89	-1.03
1697020765.19386	5.85	0.89	-1.03
1697020765.2148855	5.85	0.89	-1.03
1697020765.234411	5.84	0.89	-1.03
1697020765.2533429	5.85	0.89	-1.03
1697020765.273813	5.85	0.89	-1.03
1697020765.293038	5.85	0.89	-1.03
1697020765.313658	5.85	0.89	-1.03
1697020765.3347685	5.85	0.89	-1.03
1697020765.353121	5.85	0.89	-1.04
1697020765.3741393	5.84	0.89	-1.03
1697020765.3939826	5.85	0.89	-1.03
1697020765.4129252	5.85	0.89	-1.03
1697020765.4308598	5.85	0.89	-1.03
1697020765.4588177	5.85	0.89	-1.03
1697020765.4727676	5.85	0.89	-1.03
1697020765.4936955	5.85	0.89	-1.03
1697020765.513582	5.85	0.9	-1.03
1697020765.532562	5.85	0.9	-1.03
1697020765.5528958	5.85	0.89	-1.03
1697020765.5758317	5.85	0.89	-1.03
1697020765.5931282	5.85	0.89	-1.03
1697020765.6140263	5.85	0.9	-1.03
1697020765.634968	5.85	0.9	-1.03
1697020765.65392	5.85	0.89	-1.03
1697020765.6741161	5.85	0.89	-1.03
1697020765.6954057	5.85	0.89	-1.03
1697020765.7133493	5.84	0.89	-1.03
1697020765.7333293	5.84	0.89	-1.03
1697020765.7579997	5.85	0.89	-1.03
1697020765.7749455	5.85	0.89	-1.03
1697020765.7948792	5.85	0.89	-1.03
1697020765.8148563	5.85	0.89	-1.03
1697020765.8338573	5.85	0.89	-1.03
1697020765.8532958	5.85	0.89	-1.03
1697020765.8742492	5.85	0.89	-1.03
1697020765.8951855	5.84	0.89	-1.03
1697020765.9142067	5.85	0.89	-1.03
1697020765.9301322	5.85	0.89	-1.03
1697020765.9549794	5.85	0.89	-1.03
1697020765.9749124	5.85	0.89	-1.03
1697020765.9978356	5.85	0.89	-1.03
1697020766.0138426	5.85	0.89	-1.03
1697020766.0338123	5.85	0.89	-1.03
1697020766.0556433	5.85	0.89	-1.03
1697020766.0746782	5.85	0.89	-1.03
1697020766.0965068	5.85	0.89	-1.03
1697020766.1144483	5.85	0.89	-1.03
1697020766.1353612	5.85	0.89	-1.03
1697020766.158389	5.85	0.89	-1.03
1697020766.1742346	5.85	0.89	-1.04
1697020766.1941638	5.85	0.89	-1.03
1697020766.2171357	5.85	0.89	-1.03
1697020766.2340317	5.85	0.89	-1.03
1697020766.252321	5.85	0.89	-1.03
1697020766.275329	5.85	0.89	-1.03
1697020766.3141413	5.85	0.89	-1.03
1697020766.3390281	5.85	0.9	-1.03
1697020766.3642302	5.85	0.89	-1.03
1697020766.3731446	5.85	0.89	-1.03
1697020766.3940742	5.85	0.89	-1.03
